"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","235","Update Booking API","Webkit","2026-06-15","passed","2026-06-15","","api/updateBooking.spec.ts","",""
"","244","Update Booking API","Firefox","2026-06-15","passed","2026-06-15","","api/updateBooking.spec.ts","",""
"","7725","OrangeHRM Invalid Login","Webkit","2026-06-15","passed","2026-06-15","","ui/invalidLogin.spec.ts","",""
"","44990","Add Employee Flow","Chromium","2026-06-15","failed","2026-06-15","","ui/addEmployee.spec.ts","",""
"","525","Delete Booking API","Chromium","2026-06-15","passed","2026-06-15","","api/deleteBooking.spec.ts","",""
"","47465","Enterprise E2E Employee Workflow","Firefox","2026-06-15","failed","2026-06-15","","e2e/hybridFlow.spec.ts","",""
"","245","Delete Booking API","Firefox","2026-06-15","passed","2026-06-15","","api/deleteBooking.spec.ts","",""
"","43985","Enterprise E2E Employee Workflow","Chromium","2026-06-15","failed","2026-06-15","","e2e/hybridFlow.spec.ts","",""
"","7268","OrangeHRM Invalid Login","Chromium","2026-06-15","passed","2026-06-15","","ui/invalidLogin.spec.ts","",""
"","242","Update Booking API","Chromium","2026-06-15","passed","2026-06-15","","api/updateBooking.spec.ts","",""
"","23764","Logout Flow","Webkit","2026-06-15","passed","2026-06-15","","ui/logout.spec.ts","",""
"","29916","Search Employee Flow","Webkit","2026-06-15","passed","2026-06-15","","ui/searchEmployee.spec.ts","",""
"","88","Get Booking API","Firefox","2026-06-15","passed","2026-06-15","","api/getBooking.spec.ts","",""
"","233","Delete Booking API","Webkit","2026-06-15","passed","2026-06-15","","api/deleteBooking.spec.ts","",""
"","365","Create Booking API","Firefox","2026-06-15","passed","2026-06-15","","api/createBooking.spec.ts","",""
"","356","Create Booking API","Webkit","2026-06-15","passed","2026-06-15","","api/createBooking.spec.ts","",""
"","153","Get Booking API","Webkit","2026-06-15","passed","2026-06-15","","api/getBooking.spec.ts","",""
"","42980","Add Employee Flow","Webkit","2026-06-15","failed","2026-06-15","","ui/addEmployee.spec.ts","",""
"","26027","Search Employee Flow","Chromium","2026-06-15","passed","2026-06-15","","ui/searchEmployee.spec.ts","",""
"","9579","OrangeHRM Invalid Login","Firefox","2026-06-15","passed","2026-06-15","","ui/invalidLogin.spec.ts","",""
"","47783","Add Employee Flow","Firefox","2026-06-15","failed","2026-06-15","","ui/addEmployee.spec.ts","",""
"","22769","Logout Flow","Firefox","2026-06-15","passed","2026-06-15","","ui/login.spec.ts","",""
"","18199","Logout Flow","Chromium","2026-06-15","passed","2026-06-15","","ui/logout.spec.ts","",""
"","28487","Search Employee Flow","Firefox","2026-06-15","passed","2026-06-15","","ui/searchEmployee.spec.ts","",""
"","18405","Logout Flow","Chromium","2026-06-15","passed","2026-06-15","","ui/login.spec.ts","",""
"","43466","Enterprise E2E Employee Workflow","Webkit","2026-06-15","failed","2026-06-15","","e2e/hybridFlow.spec.ts","",""
"","19794","Logout Flow","Webkit","2026-06-15","passed","2026-06-15","","ui/login.spec.ts","",""
"","373","Create Booking API","Chromium","2026-06-15","passed","2026-06-15","","api/createBooking.spec.ts","",""
"","232","Get Booking API","Chromium","2026-06-15","passed","2026-06-15","","api/getBooking.spec.ts","",""
"","22849","Logout Flow","Firefox","2026-06-15","passed","2026-06-15","","ui/logout.spec.ts","",""
